Anyo,codigo_distrito,codigo_barrio,renta
2017,12,123,26284.0
2017,12,124,26470.0
2017,12,125,26986.0
2017,12,126,26501.0
2017,12,127,23959.0
2017,13,131,23086.0
2017,13,132,21859.0
2017,13,133,29605.0
2017,13,134,27810.0
2017,13,135,24622.0
2017,13,136,25457.0
2017,14,141,34991.0
2017,14,142,46289.0
2017,14,143,41108.0
2017,14,144,36404.0
2017,14,145,28718.0
2017,14,146,29627.0
2017,15,151,29319.0
2017,15,152,30975.0
2017,15,153,30972.0
2017,15,154,35034.0
2017,15,155,42809.0
2017,15,156,57584.0
2017,15,157,54615.0
2017,15,158,68336.0
2017,15,159,65144.0
2017,16,161,81073.0
2017,16,162,81938.0
2017,16,163,41118.0
2017,16,164,34494.0
2017,16,165,37643.0
2017,16,166,55523.0
2017,17,171,25622.0
2017,17,172,20365.0
2017,17,173,30538.0
2017,17,174,29137.0
2017,17,175,29050.0
2017,18,181,25118.0
2017,18,182,37373.0
2017,19,191,24976.0
2017,19,192,40074.0
2017,20,201,32113.0
2017,20,202,24923.0
2017,20,203,22574.0
2017,20,204,29659.0
2017,20,205,44886.0
2017,20,206,39137.0
2017,20,207,32291.0
2017,20,208,54317.0
2017,21,211,54037.0
2017,21,212,25585.0
2017,21,213,30335.0
2017,21,214,41505.0
2017,21,215,68525.0
2018,1,11,38974.0
2018,1,12,29472.0
2018,1,13,40963.0
2018,1,14,48203.0
2018,1,15,35344.0
2018,1,16,35057.0
2018,2,21,46879.0
2018,2,22,47683.0
2018,2,23,35015.0
2018,2,24,52569.0
2018,2,25,43018.0
2018,2,26,37389.0
2018,2,27,42657.0
2018,3,31,44832.0
2018,3,32,49538.0
2018,3,33,63495.0
2018,3,34,50080.0
2018,3,35,72997.0
2018,3,36,70945.0
2018,4,41,81692.0
2018,4,42,54456.0
2018,4,43,44221.0
2018,4,44,50064.0
2018,4,45,54488.0
2018,4,46,81380.0
2018,5,51,80370.0
2018,5,52,46805.0
2018,5,53,48944.0
2018,5,54,69389.0
2018,5,55,78098.0
2018,5,56,61310.0
2018,6,61,33574.0
2018,6,62,46339.0
2018,6,63,48631.0
2018,6,64,31609.0
2018,6,65,30164.0
2018,6,66,31387.0
2018,7,71,46630.0
2018,7,72,46882.0
2018,7,73,46190.0
2018,7,74,68837.0
2018,7,75,53844.0
2018,7,76,61470.0
2018,8,81,38883.0
2018,8,82,90678.0
2018,8,83,48909.0
2018,8,84,35594.0
2018,8,85,61899.0
2018,8,86,46290.0
2018,8,87,72361.0
2018,8,88,67420.0
2018,9,91,44964.0
2018,9,92,55125.0
2018,9,93,65330.0
2018,9,94,37335.0
2018,9,95,90897.0
2018,9,96,91933.0
2018,9,97,72999.0
2018,10,101,31467.0
2018,10,102,29648.0
2018,10,103,31918.0
2018,10,104,32611.0
2018,10,105,33454.0
2018,10,106,37421.0
2018,10,107,31644.0
2018,11,111,29444.0
2018,11,112,30002.0
2018,11,113,28092.0
2018,11,114,29307.0
2018,11,115,27425.0
2018,11,116,33558.0
2018,11,117,30009.0
2018,12,121,29430.0
2018,12,122,27367.0
2018,12,123,27478.0
2018,12,124,27823.0
2018,12,125,28149.0
2018,12,126,27572.0
2018,12,127,24711.0
2018,13,131,24124.0
2018,13,132,23112.0
2018,13,133,30752.0
2018,13,134,28902.0
2018,13,135,25564.0
2018,13,136,26666.0
2018,14,141,35784.0
2018,14,142,47612.0
2018,14,143,42559.0
2018,14,144,37694.0
2018,14,145,29820.0
2018,14,146,30745.0
2018,15,151,30442.0
2018,15,152,32028.0
2018,15,153,32082.0
2018,15,154,37233.0
2018,15,155,44222.0
2018,15,156,61278.0
2018,15,157,56253.0
2018,15,158,69982.0
2018,15,159,70459.0
2018,16,161,85614.0
2018,16,162,85549.0
2018,16,163,42659.0
2018,16,164,35784.0
2018,16,165,38900.0
2018,16,166,58384.0
2018,17,171,26701.0
2018,17,172,21071.0
2018,17,173,31437.0
2018,17,174,30320.0
2018,17,175,29952.0
2018,18,181,26309.0
2018,18,182,38641.0
2018,19,191,25968.0
2018,19,192,41478.0
2018,20,201,33593.0
2018,20,202,25720.0
2018,20,203,23562.0
2018,20,204,31150.0
2018,20,205,46723.0
2018,20,206,40746.0
2018,20,207,33554.0
2018,20,208,57320.0
2018,21,211,55681.0
2018,21,212,27316.0
2018,21,213,31626.0
2018,21,214,42831.0
2018,21,215,70874.0
