Anyo,codigo_distrito,codigo_barrio,parados
2017,14,141,6908.0
2017,14,142,4814.0
2017,14,143,16873.0
2017,14,144,13487.0
2017,14,145,13500.0
2017,14,146,10800.0
2017,15,151,33834.0
2017,15,152,43786.0
2017,15,153,18187.0
2017,15,154,12922.0
2017,15,155,10637.0
2017,15,156,5695.0
2017,15,157,2849.0
2017,15,158,582.0
2017,15,159,9289.0
2017,16,161,2257.0
2017,16,162,4773.0
2017,16,163,22655.0
2017,16,164,35864.0
2017,16,165,11066.0
2017,16,166,23169.0
2017,17,171,47080.0
2017,17,172,19491.0
2017,17,173,13342.0
2017,17,174,33334.0
2017,17,175,25332.0
2017,18,181,53166.0
2017,18,182,18985.0
2017,19,191,39329.0
2017,19,192,2424.0
2017,20,201,22461.0
2017,20,202,9111.0
2017,20,203,9139.0
2017,20,204,20888.0
2017,20,205,16851.0
2017,20,206,8941.0
2017,20,207,21851.0
2017,20,208,6098.0
2017,21,211,8059.0
2017,21,212,1381.0
2017,21,213,5739.0
2017,21,214,6187.0
2017,21,215,2493.0
2018,1,11,15159.0
2018,1,12,34179.0
2018,1,13,6506.0
2018,1,14,9187.0
2018,1,15,18776.0
2018,1,16,4764.0
2018,2,21,11807.0
2018,2,22,18450.0
2018,2,23,11879.0
2018,2,24,7922.0
2018,2,25,14051.0
2018,2,26,14940.0
2018,2,27,749.0
2018,3,31,15218.0
2018,3,32,9344.0
2018,3,33,7837.0
2018,3,34,9190.0
2018,3,35,2053.0
2018,3,36,4702.0
2018,4,41,4578.0
2018,4,42,11696.0
2018,4,43,9387.0
2018,4,44,17715.0
2018,4,45,8206.0
2018,4,46,4560.0
2018,5,51,4180.0
2018,5,52,17500.0
2018,5,53,8550.0
2018,5,54,10611.0
2018,5,55,7028.0
2018,5,56,6433.0
2018,6,61,17468.0
2018,6,62,16399.0
2018,6,63,9519.0
2018,6,64,19357.0
2018,6,65,17458.0
2018,6,66,15657.0
2018,7,71,9992.0
2018,7,72,10351.0
2018,7,73,11075.0
2018,7,74,6141.0
2018,7,75,10120.0
2018,7,76,6349.0
2018,8,81,1637.0
2018,8,82,760.0
2018,8,83,22042.0
2018,8,84,23964.0
2018,8,85,11963.0
2018,8,86,31579.0
2018,8,87,10093.0
2018,8,88,4653.0
2018,9,91,7138.0
2018,9,92,10011.0
2018,9,93,5355.0
2018,9,94,15588.0
2018,9,95,1529.0
2018,9,96,596.0
2018,9,97,7633.0
2018,10,101,15814.0
2018,10,102,31711.0
2018,10,103,25755.0
2018,10,104,38978.0
2018,10,105,10990.0
2018,10,106,3631.0
2018,10,107,31068.0
2018,11,111,16353.0
2018,11,112,22637.0
2018,11,113,36161.0
2018,11,114,32946.0
2018,11,115,29627.0
2018,11,116,30170.0
2018,11,117,23327.0
2018,12,121,18240.0
2018,12,122,14646.0
2018,12,123,20292.0
2018,12,124,16833.0
2018,12,125,18878.0
2018,12,126,10646.0
2018,12,127,13269.0
2018,13,131,37255.0
2018,13,132,40014.0
2018,13,133,32559.0
2018,13,134,36898.0
2018,13,135,26652.0
2018,13,136,44053.0
2018,14,141,6731.0
2018,14,142,4519.0
2018,14,143,15627.0
2018,14,144,12551.0
2018,14,145,12515.0
2018,14,146,10089.0
2018,15,151,31465.0
2018,15,152,39745.0
2018,15,153,16007.0
2018,15,154,12050.0
2018,15,155,9627.0
2018,15,156,4896.0
2018,15,157,2756.0
2018,15,158,475.0
2018,15,159,8478.0
2018,16,161,2113.0
2018,16,162,4448.0
2018,16,163,20877.0
2018,16,164,32969.0
2018,16,165,10117.0
2018,16,166,22091.0
2018,17,171,44376.0
2018,17,172,18753.0
2018,17,173,13036.0
2018,17,174,29926.0
2018,17,175,23581.0
2018,18,181,38751.0
2018,18,182,17870.0
2018,19,191,31352.0
