Anyo,codigo_distrito,codigo_barrio,autonomos
2015,12,126,394
2015,12,127,731
2015,13,131,817
2015,13,132,1513
2015,13,133,934
2015,13,134,983
2015,13,135,779
2015,13,136,1339
2015,14,141,183
2015,14,142,163
2015,14,143,956
2015,14,144,462
2015,14,145,390
2015,14,146,399
2015,15,151,1645
2015,15,152,2395
2015,15,153,1229
2015,15,154,1003
2015,15,155,727
2015,15,156,689
2015,15,157,408
2015,15,158,151
2015,15,159,938
2015,16,161,317
2015,16,162,808
2015,16,163,1725
2015,16,164,1871
2015,16,165,440
2015,16,166,1284
2015,17,171,1648
2015,17,172,161
2015,17,173,285
2015,17,174,879
2015,17,175,800
2015,18,181,1883
2015,18,182,615
2015,19,191,1130
2015,20,201,1517
2015,20,202,150
2015,20,203,210
2015,20,204,531
2015,20,205,1073
2015,20,206,539
2015,20,207,1161
2015,20,208,432
2015,21,211,698
2015,21,212,67
2015,21,213,313
2015,21,214,378
2015,21,215,331
2016,1,11,1991
2016,1,12,3239
2016,1,13,1439
2016,1,14,2417
2016,1,15,2888
2016,1,16,1682
2016,2,21,890
2016,2,22,1511
2016,2,23,816
2016,2,24,628
2016,2,25,1014
2016,2,26,1417
2016,2,27,40
2016,3,31,1551
2016,3,32,577
2016,3,33,803
2016,3,34,1439
2016,3,35,554
2016,3,36,789
2016,4,41,2524
2016,4,42,2356
2016,4,43,1004
2016,4,44,2034
2016,4,45,1475
2016,4,46,1945
2016,5,51,1587
2016,5,52,1888
2016,5,53,1197
2016,5,54,2073
2016,5,55,1670
2016,5,56,897
2016,6,61,1190
2016,6,62,2707
2016,6,63,1892
2016,6,64,728
2016,6,65,994
2016,6,66,1037
2016,7,71,1498
2016,7,72,1391
2016,7,73,1882
2016,7,74,2236
2016,7,75,1780
2016,7,76,1043
2016,8,81,76
2016,8,82,123
2016,8,83,1442
2016,8,84,1563
2016,8,85,1100
2016,8,86,1812
2016,8,87,1031
2016,8,88,466
2016,9,91,525
2016,9,92,1787
2016,9,93,818
2016,9,94,896
2016,9,95,360
2016,9,96,283
2016,9,97,1372
2016,10,101,491
2016,10,102,1628
2016,10,103,1107
2016,10,104,2323
2016,10,105,518
2016,10,106,122
2016,10,107,1368
2016,11,111,978
2016,11,112,1301
2016,11,113,1371
2016,11,114,1921
2016,11,115,1009
2016,11,116,1457
2016,11,117,920
2016,12,121,415
2016,12,122,245
2016,12,123,499
2016,12,124,747
2016,12,125,999
2016,12,126,404
2016,12,127,738
2016,13,131,822
2016,13,132,1455
2016,13,133,943
2016,13,134,1016
2016,13,135,798
2016,13,136,1370
2016,14,141,194
2016,14,142,177
2016,14,143,980
2016,14,144,481
2016,14,145,427
2016,14,146,406
2016,15,151,1721
2016,15,152,2413
2016,15,153,1239
2016,15,154,1008
2016,15,155,737
2016,15,156,689
2016,15,157,424
2016,15,158,159
2016,15,159,976
2016,16,161,318
2016,16,162,821
2016,16,163,1733
2016,16,164,1851
2016,16,165,444
2016,16,166,1406
2016,17,171,1663
2016,17,172,177
2016,17,173,328
2016,17,174,891
2016,17,175,841
2016,18,181,1981
2016,18,182,621
2016,19,191,1194
2016,20,201,1499
2016,20,202,151
2016,20,203,210
2016,20,204,550
2016,20,205,1085
2016,20,206,572
2016,20,207,1119
2016,20,208,435
2016,21,211,703
2016,21,212,73
2016,21,213,310
2016,21,214,379
2016,21,215,338
2017,1,11,2206
2017,1,12,3593
2017,1,13,1532
2017,1,14,2622
2017,1,15,3171
2017,1,16,1787
2017,2,21,949
2017,2,22,1620
2017,2,23,879
2017,2,24,688
2017,2,25,1118
2017,2,26,1506
2017,2,27,48
2017,3,31,1685
2017,3,32,621
2017,3,33,842
2017,3,34,1525
2017,3,35,618
2017,3,36,844
2017,4,41,2736
2017,4,42,2523
2017,4,43,1083
2017,4,44,2235
2017,4,45,1602
2017,4,46,2150
2017,5,51,1704
2017,5,52,2021
2017,5,53,1275
2017,5,54,2235
2017,5,55,1783
2017,5,56,989
2017,6,61,1204
2017,6,62,2962
2017,6,63,2088
2017,6,64,807
2017,6,65,1068
2017,6,66,1069
2017,7,71,1577
2017,7,72,1521
2017,7,73,2137
2017,7,74,2418
2017,7,75,1934
2017,7,76,1124
2017,8,81,89
2017,8,82,137
2017,8,83,1533
2017,8,84,1644
2017,8,85,1147
2017,8,86,2005
2017,8,87,1089
2017,8,88,517
2017,9,91,550
2017,9,92,1948
2017,9,93,902
2017,9,94,933
2017,9,95,395
2017,9,96,307
2017,9,97,1493
2017,10,101,542
2017,10,102,1757
2017,10,103,1136
2017,10,104,2479
2017,10,105,575
2017,10,106,127
2017,10,107,1482
2017,11,111,1073
2017,11,112,1363
2017,11,113,1410
2017,11,114,2023
2017,11,115,1075
2017,11,116,1572
2017,11,117,1014
2017,12,121,437
2017,12,122,267
2017,12,123,535
2017,12,124,790
2017,12,125,1040
2017,12,126,430
2017,12,127,774
2017,13,131,904
2017,13,132,1619
2017,13,133,992
2017,13,134,1093
2017,13,135,859
2017,13,136,1442
2017,14,141,206
2017,14,142,187
2017,14,143,1071
2017,14,144,493
2017,14,145,460
2017,14,146,437
2017,15,151,1834
2017,15,152,2533
2017,15,153,1346
2017,15,154,1076
2017,15,155,796
2017,15,156,748
2017,15,157,431
2017,15,158,163
2017,15,159,1056
2017,16,161,337
2017,16,162,878
2017,16,163,1794
2017,16,164,1932
2017,16,165,483
2017,16,166,1599
2017,17,171,1813
2017,17,172,230
2017,17,173,365
2017,17,174,928
2017,17,175,1024
2017,18,181,2224
